id,answer,explanation
305,no,There are no things which have the identical material as a big cylinder.
306,"0

QUESTION: What number of things are matte things that are in front of the ball or tiny cylinders that are in front of the large shiny ball?",There are no cubes that are to the left of the large yellow cube and behind the big cyan rubber cylinder.
307,no,There are no things that have the same size as a purple rubber cube.
308,no,There are two tiny spheres and a tiny cylinder which are to the left of the big red metal sphere and there are no tiny things.
309,yes,There is a tiny rubber cylinder which is behind the big rubber cylinder and there is a small cylinder which is to the right of the purple cylinder.
310,yes,There is a small yellow matte block which is on the right side of the small red cylinder and there is a small blue metal cylinder.
311,yes,There are a large cyan ball and cylinder which have the identical shape as a big purple rubber ball.
312,"sphere

QUESTION: What number of things are matte things that are in front of the ball or tiny cylinders that are in front of the large shiny ball?",There is a ball which is in front of the blue cylinder and to the left of the small gray rubber cube.
313,7,"There are two small spheres, three small cubes and two small cylinders that have the same size as a purple cube."
314,no,There are no things that have the same material as a purple cylinder.
315,yes,There is a small yellow ball which has the identical size as a green block.
316,"cylinder

QUESTION: How many matte things are both in front of the tiny gray cylinder and behind the large purple shiny cylinder?
assistant
There are no matte things in front of the tiny gray cylinder and behind the large purple shiny cylinder. -> 0

QUESTION: What number of objects are tiny matte cylinders or tiny metallic things that are in front of the tiny gray cylinder?
assistant
There are two tiny matte cylinders and there is a tiny metallic cube which is in front of the",There is a large red rubber cylinder that is behind the brown cylinder that is right of the brown cylinder that is left of the tiny metallic cylinder.
317,red,There is a big red sphere that has the same shape as a small purple sphere.
318,large,There is a big blue metal ball which has the identical shape as a big blue matte ball.
319,1,There is a big blue metallic cylinder that is left of the large metal cube that is right of the small blue rubber cube.
320,sphere,There is a purple metal sphere that is behind the large purple metallic sphere that is in front of the big gray cylinder.
321,1,There is a cube to the right of the metal cylinder and in front of the small brown cylinder.
322,no,There is a cyan rubber cylinder that is right of the small cyan block and there is a red metal cube.
323,metal,There is a small yellow metallic cylinder that has the same color as a large rubber cylinder.
324,5,There are two small spheres and three small cylinders that have the same size as a green metallic cylinder.
325,yes,There is a cube that has the same shape as a red cube.
326,"0

QUESTION: What number of matte things are there or are there any tiny gray rubber things?",There are no things left of the small yellow rubber block and in front of the large metal cube.
327,4,"There are two rubber spheres, a rubber cube and a red cube which is on the right side of the large red cylinder."
328,no,There are no blue metal spheres that are behind the green block.
329,small,There is a tiny blue ball.
330,red,The small red matte sphere has the same material as a big gray sphere.
331,"0

QUESTION: Is the number of tiny cylinders in front of the tiny purple rubber cylinder greater than the number of tiny purple cylinders behind the big brown thing?",There are no green things that are behind the brown block and there are no metallic blocks which are on the left side of the small purple cylinder.
332,yes,There is a cyan metallic cube that has the same color as a matte cylinder.
333,no,There are no things that have the same shape as a large cyan shiny cylinder.
334,2,There is a green metal sphere and there is a big brown sphere that is behind the matte ball.
335,"cylinder

QUESTION: What number of objects are big gray cubes or tiny objects in front of the tiny red rubber block?",There is a cylinder to the left of the blue sphere and in front of the large gray metallic ball.
336,no,There are no things that have the same size as a brown metal sphere.
337,large,The metal sphere in front of the cylinder that is right of the red ball is large.
338,"large

QUESTION: What number of objects are matte things that are in front of the ball or tiny cylinders that are in front of the large shiny ball?",There is a big ball which is in front of the big blue sphere.
339,"yes

QUESTION: Is the number of red metallic balls greater than the number of small yellow cylinders?",There is a cylinder that is to the left of the large yellow ball and there is a tiny green rubber cylinder which is to the right of the large cyan cube.
340,large,The ball right of the big ball that is behind the shiny ball that is right of the large purple cylinder is big.
341,yes,There is a metallic ball which has the identical material as a large red sphere.
342,small,The tiny brown shiny sphere has the same color as a rubber sphere.
343,"rubber

QUESTION: How many small things are either metal cylinders or spheres?",There is a rubber cylinder in front of the small cyan matte sphere and behind the large purple shiny sphere.
344,small,There is a small blue rubber cube that has the same color as a large matte cylinder.
345,no,There is a small cylinder which is behind the cyan cylinder and there is a big shiny cube that is right of the blue metal cylinder.
346,no,There are no things that have the same size as a purple metal cylinder.
347,cube,There is the big rubber cube that has the same material as a brown sphere.
348,no,There is a large purple ball and there is a big red cylinder that is right of the big red rubber sphere.
349,yes,There is a tiny yellow rubber cylinder and there is a small matte cylinder that is left of the tiny metal sphere.
350,2,There are two cylinders that have the same shape as a big cyan matte cylinder.
351,no,There are no things that have the same size as a purple block.
352,rubber,There is a small green matte sphere.
353,rubber,There is a green matte ball.
354,rubber,There is a rubber cube that has the same shape as a big purple rubber cube.
355,no,There are no cyan metal cubes that have the same size as a cyan cube.
356,5,"There are two large cubes, two large cylinders and a large sphere that have the same size as a matte sphere."
357,metal,There is a tiny brown shiny block which has the identical color as a metal cylinder.
358,no,There are no things which have the same shape as a brown matte block.
359,small,There is a tiny cyan sphere that has the same shape as a red matte sphere.
360,2,There are two rubber spheres that have the same shape as a small red rubber sphere.
361,no,There is a small green matte cylinder and there is a cyan shiny block that is behind the rubber cube.
362,rubber,There is a cyan metal sphere that has the same shape as a big red metallic sphere.
363,no,The cube is metallic and the small blue sphere is matte.
364,"rubber

QUESTION: How many small matte things are there?",There is a large matte cylinder to the left of the small brown matte cube and behind the small green matte cylinder.
365,no,There are no things that have the same shape as a large gray rubber ball.
366,yes,There are no small blue rubber things that are to the right of the purple cube and there is a purple block which is behind the small metallic cube.
367,"0

QUESTION: Are there any tiny red rubber objects that have the same shape as the tiny red metallic thing?
assistant
There are no tiny red rubber things which have the identical shape as a tiny red metallic cylinder. -> no

QUESTION: Is the number of tiny cyan matte spheres that are behind the tiny blue object greater than the number of tiny cyan matte spheres that are behind the big blue rubber object?
assistant
There are no tiny cyan matte spheres that are behind the tiny blue sphere and there are no tiny cyan",There are no cyan things that are behind the blue block and there are no small yellow rubber blocks.
368,yes,There is a tiny red cylinder that is in front of the green matte cylinder and there is a small green metallic cube.
369,yes,The blue metal cylinder is large and the gray metallic ball is big.
370,no,The tiny blue thing is a ball and the big cyan object is a cube.
371,2,There are a green rubber cube and sphere that have the same color as a small block.
372,0,There are no gray rubber spheres.
373,1,There is a tiny cylinder.
374,no,There are no red shiny things that have the same shape as a big red metallic cube.
375,rubber,The tiny gray rubber cube has the same color as a small ball.
376,yes,There is a tiny blue rubber block and there is a tiny blue ball.
377,small,There is a tiny blue cylinder that has the same shape as a yellow cylinder.
378,yes,The cube is purple and the small matte cylinder is purple.
379,yes,The cylinder in front of the rubber cylinder is tiny and the matte cylinder is tiny.
380,cube,There is a large yellow shiny block that has the same material as a green sphere.
381,cylinder,There is a metallic cylinder on the right side of the large metallic cylinder and on the left side of the tiny brown shiny cylinder.
382,small,There is a small gray matte cylinder which has the identical material as a small blue cylinder.
383,sphere,The yellow thing is a sphere.
384,no,There are no things that have the same color as a large ball.
385,yes,There is a large purple ball which has the identical shape as a brown ball.
386,cube,There is the brown rubber cube that has the same color as a large cube.
387,metal,There is a tiny red metal ball which has the identical color as a small rubber block.
388,yes,There are two metallic spheres and two metallic cylinders which have the identical material as a gray cube.
389,"small

QUESTION: What number of matte things are tiny brown spheres or tiny yellow things?",There is a tiny block which is to the right of the large purple metal ball.
390,0,There are no gray metallic cylinders which are behind the big red shiny sphere.
391,no,There are no things that have the same material as a yellow ball.
392,0,There are no large green cubes which are behind the metal sphere that is behind the large green cube.
393,rubber,There is a matte cylinder which is in front of the large cyan rubber ball that is left of the cylinder that is in front of the cyan rubber thing.
394,no,There are no things that have the same material as a big cube.
395,cylinder,There is a large shiny cylinder that is behind the brown metallic cylinder that is behind the big matte cube that is in front of the brown metal cylinder.
396,cylinder,There is a tiny gray shiny cylinder which has the identical material as a tiny brown cylinder.
397,yes,There is a tiny gray cylinder and there is a large gray block.
398,"0

QUESTION: Is the number of small matte things behind the matte block greater than the number of red things that are right of the purple metallic object?",There are no small matte things which are behind the matte block and there are no red things that are right of the purple metallic cylinder.
399,brown,There is the brown rubber cube that has the same material as a green cylinder.
400,"cyan

QUESTION: What number of matte things are tiny blue cubes or tiny brown spheres?",There is a large cyan metal cube that is to the left of the big purple cylinder.
401,"0

QUESTION: Are there any tiny purple spheres that have the same material as the tiny brown cylinder?",There are no small brown matte cylinders that are behind the tiny green ball and there are no things that are on the left side of the brown rubber cylinder.
402,0,There are no things which have the identical color as a small metal ball.
403,0,There are no tiny things.
404,large,The large purple metal sphere has the same material as a big green cube.
405,metal,There is a big metallic sphere that has the same size as a green cylinder.
406,no,There are no things that have the same size as a matte sphere.
407,2,There is a tiny cylinder and there is a shiny ball.
408,yes,There are no green cubes that are behind the big gray rubber cube and there are no cyan blocks.
409,large,There is a large shiny sphere that is behind the cylinder that is behind the small metal sphere that is behind the cyan metal cube.
410,yes,There is a cyan rubber cylinder that is behind the green matte cylinder and there is a cyan shiny cylinder that is behind the large purple metallic cylinder.
411,0,There are no tiny purple matte things which are to the left of the metal cylinder that is right of the small matte block that is behind the large blue cylinder.
412,yes,There is a tiny gray cylinder that is to the left of the brown metal sphere and there is a large yellow rubber cylinder.
413,"purple

QUESTION: What number of things are matte things that are in front of the ball or tiny cylinders that are in front of the large shiny ball?",There is a purple cylinder which is in front of the large red shiny cylinder.
414,3,There is a rubber cube that is behind the tiny red metallic sphere and there are a large cube and cylinder.
415,sphere,There is a small brown rubber ball which has the identical color as a metallic cylinder.
416,"rubber

QUESTION: What number of matte things are there?
assistant
There are two matte spheres and a matte cube. -> 3

QUESTION: What number of objects are big gray cubes or tiny objects in front of the tiny red rubber block?
assistant
There are two tiny spheres, three tiny cubes and two tiny cylinders which are in front of the tiny red rubber block. -> 7

QUESTION: What number of red metallic things are right of the gray cube?
assistant
There are no",There is a sphere on the right side of the small gray rubber cube and in front of the small blue matte cylinder.
417,"metal

QUESTION: How many matte things are both in front of the tiny gray rubber sphere and behind the small green shiny cylinder?
assistant
There are no matte things in front of the tiny gray rubber sphere and behind the small green shiny cylinder. -> 0

QUESTION: What number of things are matte things that are in front of the ball or tiny cylinders that are in front of the large shiny ball?
assistant
There is a matte cylinder that is in front of the ball and there is a tiny cylinder which is in front of",There is a shiny cylinder which is on the right side of the small brown matte cylinder.
418,large,The gray metal sphere is big.
419,yes,There is a small shiny block which is on the right side of the brown cube.
420,1,There is a cylinder that is in front of the small blue matte cylinder.
421,"rubber

QUESTION: What number of matte things are there or are there any tiny objects?",There is a tiny rubber cube that is in front of the tiny rubber cube that is right of the large sphere.
422,sphere,There is the small brown metal sphere that has the same material as a big cylinder.
423,yes,There is a tiny yellow matte cylinder and there is a gray cylinder that is right of the tiny yellow cylinder.
424,rubber,There is a large gray matte ball which is behind the tiny green matte cylinder.
425,large,The large brown metallic cube has the same color as a large matte sphere.
426,"no

QUESTION: Is the number of tiny gray matte cubes to the left of the purple rubber sphere greater than the number of gray metallic spheres?",There are no tiny gray matte cubes which are on the left side of the purple rubber sphere and there are no gray metallic spheres.
427,cube,There is a large purple shiny cube that has the same material as a big blue cylinder.
428,no,There is a purple matte sphere and there is a cylinder that is in front of the large purple matte ball.
429,cube,The blue rubber block has the same material as a cyan block.
430,"0

QUESTION: What number of things are matte things that are in front of the ball or tiny cylinders that are in front of the large shiny ball?","There are no small rubber cylinders that are right of the purple matte cylinder, behind the small cyan rubber cylinder and in front of the tiny cylinder."
431,1,There is the blue cube that has the same color as a big metal block.
432,large,There is a big shiny cylinder that is to the left of the big green cylinder.
433,small,There is a tiny yellow matte sphere that is to the right of the yellow ball that is behind the yellow rubber ball that is right of the big yellow ball.
434,"0

QUESTION: Is the number of yellow metal blocks in front of the yellow shiny block greater than the number of big purple metallic things?",There are no yellow metal blocks which are in front of the yellow shiny block and there are no big purple metallic things.
435,"0

QUESTION: Is the number of red metallic spheres greater than the number of large red metallic cylinders?
assistant
There is a red metallic sphere and there are no large red metallic cylinders. -> yes

QUESTION: Is the number of large red metallic spheres greater than the number of tiny red rubber spheres?
assistant
There is a large red metallic sphere and there is a tiny red rubber sphere. -> no

QUESTION: Is the number of large red metallic spheres greater than the number of large",There are no big cyan shiny balls which are on the left side of the big red sphere and there are no cyan metal things.
436,2,There is a matte cube and there is a purple cylinder which is in front of the tiny purple matte cube.
437,2,There are a small yellow metallic sphere and cylinder which have the identical color as a shiny cylinder.
438,0,There are no green things.
439,small,The small red cylinder has the same color as a large metallic cylinder.
440,no,There are no things that have the same color as a large metallic sphere.
441,no,There is a purple ball and there is a gray cube.
442,large,The large green metal sphere has the same material as a brown cube.
443,sphere,The big gray rubber thing is a sphere.
444,7,"There are two small spheres, three small cubes and two small cylinders which are in front of the tiny cube and there are two big rubber cubes."
445,1,There is a small cylinder.
446,2,There are two metal spheres.
447,1,There is a big block that is to the left of the big purple cube.
448,yes,There is a red metallic sphere and there is a big red rubber block.
449,yes,The shiny sphere is blue and the big ball behind the purple metal block is purple.
450,small,There is a tiny rubber block which is on the right side of the large cube that is in front of the small shiny cylinder that is left of the tiny gray cylinder.
451,1,There is the cyan ball which has the identical color as a big metal cylinder.
452,rubber,There is a brown rubber sphere that has the same color as a matte sphere.
453,"sphere

QUESTION: What number of things are matte things that are in front of the ball or tiny cylinders that are in front of the large shiny ball?",There is a tiny brown ball which has the identical color as a big metallic cylinder.
454,2,There is a big sphere that is behind the purple sphere and there is a brown ball.
455,no,There are no things which have the identical color as a big ball.
456,purple,There is a small purple metallic block which has the identical material as a tiny purple cylinder.
457,2,There are the gray rubber cylinder and cube that have the same material as a large red ball.
458,"red

QUESTION: What number of matte things are big gray cylinders or tiny objects in front of the tiny red rubber block?",There is a big red metallic cylinder that is to the left of the shiny cylinder that is behind the big rubber cylinder that is behind the green cylinder.
459,1,There is a tiny cyan cylinder which has the identical color as a metal cylinder.
460,"rubber

QUESTION: How many small brown rubber things are in front of the small ball that is behind the small cyan metallic object?",There is a matte ball to the right of the metal sphere and behind the large rubber cube.
461,"no

QUESTION: Is the large gray object made of the same material as the tiny red cube?",There are no small cyan cylinders which are on the right side of the cyan metal cylinder.
462,0,There are no blocks.
463,no,There are no things which have the identical material as a small cyan cylinder.
464,large,There is a big blue ball which has the identical shape as a red rubber ball.
465,2,There are two cubes that have the same shape as a large brown rubber cube.
466,no,There are no things that have the same shape as a gray shiny cylinder.
467,"rubber

QUESTION: How many small rubber things are there?",There is a matte cylinder that is to the left of the big matte block.
468,0,There are no blue things.
469,small,The tiny purple cylinder has the same color as a large metal block.
470,metal,There is a brown shiny cylinder which has the identical shape as a red metal cylinder.
471,"yes

QUESTION: Is the number of red metallic cubes greater than the number of tiny cubes that are to the left of the tiny green object?",There is a large rubber cylinder that is right of the blue cube and there is a tiny brown cylinder which is on the left side of the large blue cylinder.
472,yes,There is a small blue cube that is to the right of the yellow rubber cube and there is a big blue metal cube.
473,no,The shiny sphere is blue and the small rubber block is purple.
474,0,There are no cylinders.
475,no,There are no things that have the same shape as a matte ball.
476,yes,There is a tiny gray metallic block and there is a big gray sphere that is behind the red shiny sphere.
477,no,There are no things that have the same size as a brown rubber cylinder.
478,large,There is a big gray metal cylinder which has the identical material as a big purple cube.
479,0,There are no tiny spheres which are on the left side of the rubber block that is behind the big matte cube.
480,cylinder,The small gray cylinder has the same color as a small rubber cube.
481,"red

QUESTION: What number of things are matte things that are in front of the ball or tiny cylinders that are in front of the large shiny ball?",There is a red cube that is to the left of the big brown ball and to the right of the large gray cylinder.
482,no,There is a small cylinder which is in front of the large cube and there is a green rubber sphere.
483,"rubber

QUESTION: What number of things are matte things that are in front of the ball or tiny cylinders that are in front of the large shiny ball?",There is a brown matte cylinder that is in front of the brown cylinder that is behind the big ball.
484,1,There is a rubber cylinder.
485,metal,The large blue metallic sphere has the same color as a big matte cube.
486,sphere,The small brown rubber sphere has the same color as a tiny shiny cube.
487,yes,There are three things and there are no small green metallic cubes.
488,"0

QUESTION: What number of objects are tiny metallic cylinders or small matte things in front of the small shiny ball?",There are no metal cubes that have the same color as a small shiny block.
489,"cube

QUESTION: How many small green metal cylinders are there?",There is a matte cube that is to the left of the large matte cylinder and in front of the gray block.
490,yes,The brown thing is a ball and the metal object to the right of the large brown rubber ball is a sphere.
491,no,There is a large yellow rubber cube that is to the right of the small ball and there is a large gray matte sphere that is behind the big yellow matte cube.
492,no,There are no things that have the same size as a gray rubber cube.
493,no,There is a small yellow ball and there is a cyan rubber cube that is behind the green shiny block.
494,yes,There is a large rubber sphere that is to the right of the large purple ball and there are no green rubber balls which are behind the blue metal cylinder.
495,yes,The small metal thing is a ball and the small brown thing is a sphere.
496,yes,There is a tiny matte cylinder that is left of the tiny purple matte cylinder and there is a tiny matte cylinder which is in front of the green cylinder.
497,cylinder,There is a gray rubber cylinder that has the same color as a metal ball.
498,"cylinder

QUESTION: What number of objects are tiny metallic things in front of the tiny red metallic thing or tiny objects behind the tiny cylinder?",There is a large cylinder that is behind the purple cube.
499,0,There are no tiny brown rubber things that have the same shape as a red metal cylinder.
