id,answer,explanation
429,cube,There is a blue rubber cube that has the same material as a cyan cube.
430,0,There are no small rubber cylinders to the right of the purple matte cylinder and behind the small cyan rubber cylinder.
431,2,There are two blue cubes which have the identical color as a big metal cube.
432,large,There is a big shiny cylinder that is left of the big green cylinder.
433,small,There is a tiny yellow matte ball which is to the right of the yellow ball that is behind the yellow rubber ball that is right of the big yellow ball.
434,no,There are no yellow metal blocks which are in front of the yellow shiny block and there are no big purple metallic things.
435,no,There are no big cyan shiny balls which are to the left of the big red sphere and there is a cyan metal sphere.
436,2,There is a matte cube and there is a purple cylinder which is in front of the tiny purple matte cube.
437,2,There are a small yellow metal sphere and cylinder which have the identical color as a shiny cylinder.
438,1,There is a green cylinder.
439,large,There is the large red cylinder that has the same color as a large metallic cube.
440,no,There are no things which have the identical color as a large metallic sphere.
441,no,The ball is purple and the cube is gray.
442,large,There is the large green metal ball which has the identical material as a brown cube.
443,sphere,The big gray rubber thing is a ball.
444,4,There are two small cylinders which are in front of the tiny cube and there are a big rubber cube and cylinder.
445,1,There is a small cylinder.
446,4,There are two metal spheres and two metal cubes.
447,2,There are two big blocks which are on the left side of the big purple cube.
448,yes,The metallic sphere is red and the big rubber block is red.
449,no,The shiny sphere is blue and the big ball behind the purple metal block is purple.
450,small,There is a small rubber block that is right of the large cube that is in front of the small shiny cylinder that is left of the tiny gray cylinder.
451,2,There are two cyan spheres that have the same color as a big metal cylinder.
452,metal,There is a brown metallic block which has the identical color as a matte ball.
453,sphere,There is the tiny brown sphere that has the same color as a big metallic cylinder.
454,2,There is a big sphere that is behind the purple sphere and there is a brown sphere.
455,no,No things have the same color as a big ball.
456,purple,There is the small purple metal block which has the identical material as a tiny purple cylinder.
457,3,There are two rubber cylinders and a rubber cube that have the same material as a large red ball.
458,red,There is a big red metallic cylinder that is to the left of the shiny cylinder that is behind the big rubber cylinder that is behind the green cylinder.
459,1,There is the tiny cyan cube that has the same color as a metal cylinder.
460,rubber,There is a rubber ball right of the metal sphere and behind the large rubber cube.
461,no,There are no small cyan cylinders which are on the right side of the cyan metal cylinder.
462,1,There is a block.
463,no,There are no things that have the same material as a small cyan cylinder.
464,large,The large blue ball has the same shape as a red rubber ball.
465,1,There is the cube that has the same shape as a large brown rubber cube.
466,no,There are no things which have the identical shape as a gray shiny cylinder.
467,rubber,The cylinder to the left of the big matte block is rubber.
468,0,There are no blue things.
469,small,There is a small purple cylinder which has the identical color as a large metal block.
470,metal,There is a brown metallic cylinder that has the same shape as a red metal cylinder.
471,no,There is a large rubber cylinder which is on the right side of the blue cube and there is a tiny brown cylinder that is to the left of the large blue cube.
472,yes,The small cube to the right of the yellow rubber cube is blue and the big metal cube is blue.
473,no,The shiny sphere is blue and the small rubber block is purple.
474,0,There are no cylinders.
475,no,There are no things which have the identical shape as a matte sphere.
476,yes,The tiny metallic block is gray and the big sphere behind the red shiny sphere is gray.
477,no,There are no things which have the identical size as a brown rubber cylinder.
478,large,The large gray metallic cylinder has the same material as a big purple block.
479,1,There is a tiny sphere that is to the left of the rubber block that is behind the big matte cube.
480,cylinder,The small gray cylinder has the same color as a small rubber cube.
481,no cubes,There are no cubes that are on the left side of the big brown ball and on the right side of the large gray cylinder.
482,no,The small thing in front of the large cube is a cylinder and the green rubber object is a sphere.
483,rubber,There is a brown matte cylinder which is in front of the brown cylinder that is behind the big ball.
484,1,There is a rubber cylinder.
485,metal,There is a large blue metallic sphere that has the same color as a big matte cube.
486,sphere,There is a small brown rubber sphere that has the same color as a tiny shiny cube.
487,yes,There are three spheres and a cylinder and there are no small green metallic cubes.
488,0,There are no metal cubes that have the same color as a small shiny block.
489,cube,There is a matte block to the left of the large matte cylinder and in front of the gray block.
490,yes,There is a brown sphere and there is a metal sphere that is right of the large brown rubber sphere.
491,no,The large rubber cube right of the small ball is yellow and the large matte sphere behind the big yellow matte cube is gray.
492,no,There are no things that have the same size as a gray rubber cube.
493,no,The small ball is yellow and the rubber cube behind the green shiny block is cyan.
494,yes,There is a large rubber sphere which is to the right of the large purple ball and there are no green rubber balls that are behind the blue metal cube.
495,yes,There is a small metal sphere and there is a small brown sphere.
496,yes,There is a tiny matte cylinder that is left of the tiny purple matte cylinder and there is a tiny matte cylinder that is in front of the green cylinder.
497,cylinder,There is a gray cylinder which has the identical color as a metal ball.
498,cylinder,The large object behind the purple cube is a cylinder.
499,1,There is a tiny brown rubber cylinder which has the identical shape as a red metal cylinder.
