id,answer,explanation
434,no,There are no yellow metal blocks which are in front of the yellow shiny block and there are no big purple metallic things.
435,no,There are no big cyan shiny balls that are left of the big red sphere and there is a cyan metal ball.
436,3,There are two matte cubes and there is a purple cylinder which is in front of the tiny purple matte cube.
437,2,There are a large yellow cylinder and sphere that have the same color as a shiny cylinder.
438,1,There is a green cylinder.
439,large,There is a big red cylinder that has the same color as a large metallic cube.
440,no,No things have the same color as a large metallic sphere.
441,no,There is a purple ball and there is a gray cube.
442,large,There is a big green metallic sphere that has the same material as a brown cube.
443,sphere,There is a big gray rubber ball.
444,3,There are a small red rubber cylinder and two small metallic cylinders which are in front of the tiny cube and there are two big rubber cubes.
445,1,There is a small cylinder.
446,1,There is a metal sphere.
447,2,There are two big blocks which are on the left side of the big purple cube.
448,yes,There is a red metallic sphere and there is a big red rubber block.
449,no,The shiny sphere is blue and the big ball behind the purple metal block is purple.
450,small,There is a small rubber block which is on the right side of the large cube that is in front of the small shiny cylinder that is left of the tiny gray cylinder.
451,1,There is the cyan ball which has the identical color as a big metal cylinder.
452,metal,There is a brown shiny cube that has the same color as a matte sphere.
453,sphere,There is the tiny brown ball which has the identical color as a big metallic cylinder.
454,3,There are a big green metal sphere and cylinder which are behind the purple sphere and there is a brown ball.
455,no,There are no things that have the same color as a big ball.
456,purple,The small purple shiny block has the same material as a tiny purple cylinder.
457,3,There are two rubber cubes and a rubber cylinder which have the identical material as a large red ball.
458,red,There is a big red metallic cylinder which is on the left side of the shiny cylinder that is behind the big rubber cylinder that is behind the green cylinder.
459,1,There is a tiny cyan cube that has the same color as a metal cylinder.
460,rubber,There is a matte ball to the right of the metal sphere and behind the large rubber cube.
461,no,There are no small cyan cylinders which are to the right of the cyan metal cylinder.
462,1,There is a block.
463,no,There are no things that have the same material as a small cyan cylinder.
464,large,There is the big blue ball which has the identical shape as a red rubber ball.
465,1,There is a cube that has the same shape as a large brown rubber cube.
466,no,No things have the same shape as a gray shiny cylinder.
467,rubber,The cylinder left of the big matte block is matte.
468,0,There are no blue things.
469,small,There is a small purple cylinder that has the same color as a large metal block.
470,metal,There is a brown metallic cylinder which has the identical shape as a red metal cylinder.
471,no,There is a large rubber cylinder which is on the right side of the blue cube and there is a small brown cylinder that is to the left of the large blue cube.
472,yes,There is a small blue cube that is right of the yellow rubber cube and there is a big blue metal cube.
473,no,There is a shiny blue sphere and there is a small purple rubber block.
474,0,There are no cylinders.
475,no,There are no things that have the same shape as a matte sphere.
476,yes,The tiny metallic block is gray and the big sphere behind the red shiny sphere is gray.
477,no,No things have the same size as a brown rubber cylinder.
478,large,There is a big gray metallic cylinder that has the same material as a big purple cube.
479,0,There are no tiny spheres which are on the left side of the rubber block that is behind the big matte cube.
480,cylinder,The small gray cylinder has the same color as a small rubber cube.
481,red,There is a red cube to the left of the big brown ball and to the right of the large gray cylinder.
482,no,There is a small cylinder that is in front of the large cube and there is a green rubber sphere.
483,rubber,The brown cylinder in front of the brown cylinder that is behind the big ball is rubber.
484,1,There is a rubber cylinder.
485,metal,There is a large blue metal sphere that has the same color as a big matte cube.
486,sphere,There is a small brown rubber sphere that has the same color as a tiny shiny cube.
487,yes,There are three things and there are no small green metallic cubes.
488,0,There are no metal cubes that have the same color as a small shiny block.
489,cube,There is a matte cube to the left of the large matte cylinder and in front of the gray block.
490,yes,There is a brown sphere and there is a metal sphere that is right of the large brown rubber sphere.
491,no,There is a large yellow rubber cube that is right of the small ball and there is a large gray matte sphere that is behind the big yellow matte cube.
492,no,There are no things which have the identical size as a gray rubber cube.
493,no,There is a small yellow ball and there is a cyan rubber cube that is behind the green shiny block.
494,yes,There is a large rubber sphere that is right of the large purple ball and there are no green rubber balls which are behind the blue metal cube.
495,yes,There is a small metal ball and there is a small brown ball.
496,yes,There is a tiny matte cylinder that is to the left of the tiny purple matte cylinder and there is a tiny matte cylinder which is in front of the green cylinder.
497,cylinder,The gray cylinder has the same color as a metal ball.
498,cylinder,There is a large cylinder which is behind the purple cube.
499,1,There is a tiny brown rubber cylinder that has the same shape as a red metal cylinder.
